Período;Região;Instituição Hospitalar;Sigla;Ponto ou Localização Geográfica;Grupo;Despesa;N.º doentes;Custo Médio
2017-12;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;HFF;38.7422257, -9.2264834;Grupo D;15165435.36;2451.0;515.6206772745818
2017-12;Centro;Centro Hospitalar e Universitario de Coimbra, E.P.E.;CHUC;40.2191523, -8.4098211;Grupo E;15598356.669999998;1846.0;704.1511678403755
2017-12;LVT;Centro Hospitalar Universitário de Lisboa Central E.P.E.;CHULC;38.7166948, -9.1371248;Grupo E;39785764.08;5626.0;589.313960184856
2017-12;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;CHUP;41.1472498, -8.6172617;Grupo E;17346581.86;2909.0;496.9228217027615
2018-12;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;ULSAM;41.7056054, -8.8252713;Grupo C;1503855.23;238.0;526.5599544817927
2018-12;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;CHTMAD;41.3031784, -7.7515252;Grupo D;1568233.2699999998;273.0;478.70368437118435
2018-12;Algarve;Centro Hospitalar Universitário do Algarve, EPE;CHUA;37.0238973, -7.9281554;Grupo D;9488683.250000002;1862.0;424.66358977801656
2018-12;LVT;Hospital Garcia da Orta, E.P.E.;HGO;38.6658713, -9.1822554;Grupo D;8676992.83;1826.0;395.99273594377513
2018-12;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;CHLO;38.708454, -9.216985;Grupo E;16504066.3;2715.0;506.5704818907305
2018-12;Centro;Centro Hospitalar e Universitario de Coimbra, E.P.E.;CHUC;40.2191523, -8.4098211;Grupo E;14293392.73;2382.0;500.04872411139104
2019-12;LVT;Hospital Distrital de Santarém, E.P.E.;HDS;39.2410946, -8.6937515;Grupo C;4305831.7700000005;813.0;441.35216994669946
2019-12;Algarve;Centro Hospitalar Universitário do Algarve, EPE;CHUA;37.0238973, -7.9281554;Grupo D;7683277.6;1940.0;330.0376975945017
2019-12;LVT;Centro Hospitalar de Lisboa Ocidental, EPE;CHLO;38.708454, -9.216985;Grupo E;14284827.75;2863.0;415.7884430667132
2020-12;Norte;Centro Hospitalar Universitário de São João, EPE;CHUSJ;41.1831056, -8.6010558;Grupo E;10968604.39;2839.0;321.96208729599624
2020-12;LVT;Hospital Distrital de Santarém, E.P.E.;HDS;39.2410946, -8.6937515;Grupo C;4625739.4;852.0;452.439299687011
2020-12;Norte;Unidade Local de Saúde de Matosinhos, EPE;ULSM;41.1794456, -8.6745115;Grupo C;4661757.65;896.0;433.5712100074405
2020-12;Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;ULSNA;39.3003425, -7.4263845;Grupo C;293461.85;134.0;182.5011504975124
2020-12;LVT;Centro Hospitalar Barreiro Montijo, EPE;CHBM;38.6554005, -9.0592392;Grupo C;5073662.26;894.0;472.93645227442204
2020-12;LVT;Centro Hospitalar Universitário Lisboa Central, EPE;CHULC;38.7166948, -9.1371248;Grupo E;33205963.66;6134.0;451.1189498424084
2020-12;Centro;Centro Hospitalar do Baixo Vouga, EPE;CHBV;40.6362453, -8.6543716;Grupo C;3132157.81;692.0;377.1866341522158
2021-12;Centro;Centro Hospitalar Universitário Cova da Beira, EPE;CHUCB;40.2804158, -7.4922407;Grupo C;848212.18;173.0;408.58004816955685
2021-12;LVT;Hospital Garcia da Orta, EPE;HGO;38.6658713, -9.1822554;Grupo D;8235106.89;2025.0;338.893287654321
2021-12;LVT;Hospital Distrital de Santarém, E.P.E.;HDS;39.2410946, -8.6937515;Grupo C;4609737.05;826.0;465.0662883373688
