Período;TimeKey;RegiaoID;InstituicaoID;Atendimentos_Vermelha;Atendimentos_Laranja;Atendimentos_Amarela;Atendimentos_Verde;Atendimentos_Azul;Atendimentos_Branca;Atendimentos_SemTriagem;TotalAtendimentos;Médicos;MedicosInternos;Enfermeiros;Despesa;NumDoentes;CustoMedio
2014-09;20140901;3;10;636;12574;46403;52683;4893;2067;34472;119256;0;0;0;0.0;0;0.0
2014-09;20140901;3;33;360;13450;54522;73693;1361;289;119;143675;0;0;0;0.0;0;0.0
2014-09;20140901;1;2;548;14293;61366;27779;418;27038;1598;131442;0;0;0;0.0;0;0.0
2014-09;20140901;1;7;873;16404;59115;56342;404;5942;10285;139080;0;0;0;0.0;0;0.0
2014-09;20140901;1;29;81;3963;17817;26413;241;2335;0;50850;0;0;0;0.0;0;0.0
2014-09;20140901;1;64;331;14226;60602;45699;394;698;0;121950;0;0;0;0.0;0;0.0
2014-08;20140801;4;69;0;0;0;0;0;0;64838;0;0;0;0;0.0;0;0.0
2014-08;20140801;5;13;523;18512;57826;28622;336;5871;60790;111690;0;0;0;0.0;0;0.0
2014-08;20140801;2;35;112;3963;23487;13674;228;814;0;42278;0;0;0;0.0;0;0.0
2014-08;20140801;3;9;510;6334;44844;49871;849;717;65079;103125;0;0;0;0.0;0;0.0
2014-08;20140801;3;16;257;5507;24917;24019;1197;728;44543;56625;0;0;0;0.0;0;0.0
2014-08;20140801;3;10;571;11361;41178;47355;4248;1860;30454;106573;0;0;0;0.0;0;0.0
2014-08;20140801;1;19;207;9027;36056;48588;532;3431;283;97841;0;0;0;0.0;0;0.0
2014-08;20140801;2;20;595;16893;61536;27263;317;3938;57;110542;0;0;0;0.0;0;0.0
2014-08;20140801;2;23;982;20915;74976;29116;417;2367;58287;128773;0;0;0;0.0;0;0.0
2014-08;20140801;3;1;317;4804;23289;14312;527;2739;50670;45988;0;0;0;0.0;0;0.0
2014-08;20140801;3;17;214;7008;28779;14253;112;3554;36075;53920;0;0;0;0.0;0;0.0
2014-08;20140801;3;22;308;9148;32816;31033;175;2153;42844;75633;0;0;0;0.0;0;0.0
2014-08;20140801;3;3;586;12582;41496;39051;427;2664;0;96806;0;0;0;0.0;0;0.0
2014-08;20140801;3;28;725;20861;49982;92542;4004;7463;2095;175577;0;0;0;0.0;0;0.0
2014-08;20140801;1;14;631;9167;55925;13065;576;1128;9943;80492;0;0;0;0.0;0;0.0
2014-08;20140801;1;53;229;8351;29782;16548;842;1170;162;56922;0;0;0;0.0;0;0.0
2014-08;20140801;1;64;294;12774;54052;40610;343;692;0;108765;0;0;0;0.0;0;0.0
2014-08;20140801;4;66;106;4761;20053;4015;141;1384;51727;30460;0;0;0;0.0;0;0.0
2014-08;20140801;4;73;228;6843;20315;33968;300;1831;116;63485;0;0;0;0.0;0;0.0
2014-08;20140801;2;15;396;8447;64468;55166;1659;1188;0;131324;0;0;0;0.0;0;0.0
2014-08;20140801;2;5;445;12340;40066;28710;571;4164;33908;86296;0;0;0;0.0;0;0.0
2014-08;20140801;1;12;840;15997;63428;35739;3155;1790;63385;120949;0;0;0;0.0;0;0.0
2014-08;20140801;1;2;484;12713;54729;24779;364;24540;1300;117609;0;0;0;0.0;0;0.0
2014-08;20140801;1;7;799;15017;52612;50269;368;5328;9045;124393;0;0;0;0.0;0;0.0
2014-08;20140801;3;33;314;12061;48660;65891;1214;243;109;128383;0;0;0;0.0;0;0.0
2014-08;20140801;1;31;522;11758;70346;42899;823;0;301;126348;0;0;0;0.0;0;0.0
2014-08;20140801;1;72;241;6597;50299;19420;187;2345;64;79089;0;0;0;0.0;0;0.0
2014-08;20140801;2;8;99;1582;23196;11672;56;985;13178;37590;0;0;0;0.0;0;0.0
2014-08;20140801;2;38;0;0;0;0;0;0;58922;0;0;0;0;0.0;0;0.0
2014-08;20140801;3;25;304;10919;35792;29863;201;2502;4664;79581;0;0;0;0.0;0;0.0
2014-08;20140801;3;27;407;9156;23882;21815;1739;1038;39776;58037;0;0;0;0.0;0;0.0
2014-08;20140801;1;29;76;3639;15886;23927;222;2053;0;45803;0;0;0;0.0;0;0.0
2014-07;20140701;2;35;98;3456;20395;12125;205;730;0;37009;0;0;0;0.0;0;0.0
2014-07;20140701;3;3;533;11299;36580;34754;375;2324;0;85865;0;0;0;0.0;0;0.0
2014-07;20140701;4;66;94;4199;17442;3469;116;1223;45817;26543;0;0;0;0.0;0;0.0
2014-07;20140701;4;69;0;0;0;0;0;0;55566;0;0;0;0;0.0;0;0.0
2014-07;20140701;2;8;89;1384;19821;10408;50;847;11733;32599;0;0;0;0.0;0;0.0
2014-07;20140701;2;38;0;0;0;0;0;0;49917;0;0;0;0;0.0;0;0.0
