Período;Região;Instituição;Vermelha;Laranja;Amarela;Verde;Azul;Branca;SemTriagem;TotalAtendimentos
2020-05;Região de Saúde do Centro;CHU Coimbra;418;10909;37654;17973;1222;2732;19667;70908
2020-05;Região de Saúde LVT;Hospital Vila Franca Xira;172;4785;21562;17974;821;761;6;46075
2020-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;123;4224;22061;13319;339;653;265;40719
2020-05;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;377;8011;27771;19914;706;4822;5606;61601
2020-05;Região de Saúde Norte;CH Vila Nova Gaia/Espinho;129;5430;32053;15969;559;2413;1830;56553
2020-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;200;5430;23246;18372;213;576;107;48037
2020-05;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;116;2610;17449;10089;378;3619;281;34261
2020-05;Região de Saúde do Alentejo;ULS Baixo Alentejo;127;4250;18511;9627;580;271;505;33366
2020-05;Região de Saúde do Alentejo;ULS Litoral Alentejano;36;1240;6901;5276;70;274;15552;13797
2020-05;Região de Saúde do Centro;CH Leiria;296;5397;25905;23367;1543;1389;0;57897
2020-05;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;249;6960;27865;13523;842;2586;121;52025
2020-05;Região de Saúde LVT;CH Barreiro/Montijo;120;3571;18397;12031;602;79;15387;34800
2020-05;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;199;6112;23995;19927;611;2458;688;53302
2020-05;Região de Saúde LVT;CHU Lisboa Norte;297;7409;26431;30915;2068;1151;6817;68271
2020-05;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;72;3193;18039;17678;440;2793;213;42215
2020-04;Região de Saúde do Centro;CH Tondela-Viseu;171;4952;18087;11366;631;1856;4678;37063
2020-04;Região de Saúde LVT;CH Barreiro/Montijo;98;2999;15467;9848;443;71;13649;28926
2020-04;Região de Saúde LVT;Hospital de Loures;133;4994;20339;24992;488;227;47;51173
2020-04;Região de Saúde Norte;Hospital de Braga, EPE;239;5172;24907;23706;1283;0;348;55307
2020-04;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;25;1397;6970;7990;296;274;0;16952
2020-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;94;2202;15022;8649;284;2463;241;28714
2020-04;Região de Saúde do Alentejo;ULS Baixo Alentejo;108;3617;15867;8445;443;219;429;28699
2020-04;Região de Saúde do Centro;CH Leiria;254;4473;21653;19918;1175;1247;0;48720
2020-04;Região de Saúde do Centro;Hospital Figueira Foz;49;1429;10356;5795;73;300;6;18002
2020-04;Região de Saúde do Centro;ULS Castelo Branco;44;1129;8305;6795;329;432;224;17034
2020-04;Região de Saúde LVT;CHU Lisboa Central;261;4298;30102;27510;1241;1154;0;64566
2020-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;82;2164;8492;12871;971;495;17826;25075
2020-04;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;159;5184;20130;17652;465;2162;463;45752
2020-04;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;122;4675;15603;12940;566;461;104;34367
2020-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;102;3557;18593;11102;259;529;265;34142
2020-04;Região de Saúde Norte;CH Póvoa Varzim/Vila Conde;79;1698;8817;7726;264;326;420;18910
2020-04;Região de Saúde Norte;CH Vila Nova Gaia/Espinho;99;4542;26918;12986;438;1964;1671;46947
2020-04;Região de Saúde do Algarve;CHU Algarve;228;12756;38143;34117;2325;4358;616;91927
2020-04;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;219;5928;23649;11630;615;2183;109;44224
2020-04;Região de Saúde do Centro;CHU Coimbra;347;9062;31153;14920;947;2167;17539;58596
2020-04;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;232;4564;17676;13507;273;1465;185;37717
2020-04;Região de Saúde Norte;CHU São João;324;8580;23864;12950;1303;185;22602;47206
2020-04;Região de Saúde Norte;CHU Porto;217;4316;20649;5647;752;1619;9467;33200
2020-04;Região de Saúde Norte;CH Entre Douro e Vouga;253;6118;23186;15094;1185;7944;2262;53780
2020-04;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;310;6714;22729;16768;578;4007;4685;51106
2020-04;Região de Saúde Norte;ULS Matosinhos;86;3489;10159;6680;690;1972;2994;23076
2020-04;Região de Saúde do Alentejo;ULS Norte Alentejano;87;2355;9395;10732;362;966;0;23897
2020-04;Região de Saúde do Centro;ULS Guarda;101;2131;13185;8117;942;897;147;25373
2020-04;Região de Saúde LVT;Hospital de Cascais, PPP;106;5057;14269;20259;269;175;0;40135
2020-04;Região de Saúde LVT;Hospital Vila Franca Xira;136;3974;18240;15270;624;596;6;38840
2020-04;Região de Saúde LVT;Hospital Fernando Fonseca;188;7550;20980;36216;1365;1753;217;68052
2020-04;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;60;2664;15382;14976;319;2310;196;35711
2020-04;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;163;4646;19917;15783;173;487;94;41169
2020-04;Região de Saúde do Alentejo;Hospital Espírito Santo Évora;86;3379;8180;6034;346;982;279;19007
2020-04;Região de Saúde do Alentejo;ULS Litoral Alentejano;30;1018;5723;4458;54;214;13322;11497
2020-04;Região de Saúde do Centro;CHU Cova da Beira;40;1278;10764;4675;172;705;19;17634
2020-04;Região de Saúde LVT;CH Setúbal;122;3135;11233;7896;597;887;13700;23870
2020-04;Região de Saúde LVT;CHU Lisboa Norte;249;6228;21568;27199;1605;982;5497;57831
2020-04;Região de Saúde LVT;Hospital Garcia de Orta;190;4347;13808;20302;1914;640;814;41201
